                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.049,                 4.8345,                 4.3469,                 1.4769,                0.00327,                0.55603,                0.04578,                0.02819,                0.00343,                0.58251,                 0.0498,                0.02843,                 1.7254,                 4.3336,                 3.7503,                 1.4013,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.4359,                 2.6261,                 3.7397,                 1.2364,                0.07405,                 0.0431,                0.06976,                  0.042,                0.08886,                0.05172,                0.07274,                0.04545,                 1.2549,                 3.0181,                 3.2389,                 1.2381,             0.00037961,             0.00037961,             0.00037961
                      3,                 1.2222,                    2.2,                 3.1533,                 1.1639,                0.18562,                0.36392,                0.18413,                0.13543,                0.18613,                0.36392,                0.18374,                0.14672,                 1.2704,                  2.603,                 2.9391,                 1.2905,              0.0005719,              0.0005719,              0.0005719
                      4,                 1.1287,                 2.0108,                 2.5166,                 1.0877,                0.88298,                0.35714,                0.44432,                0.36256,                0.88298,                0.35714,                0.44197,                0.37186,                 1.1849,                 2.5385,                 2.7646,                 1.2499,             0.00076022,             0.00076022,             0.00076022
                      5,                 1.1379,                 1.8401,                 2.0506,                 1.1358,                0.55675,                0.47968,                0.53823,                0.41388,                0.47423,                0.51416,                0.54473,                0.41373,                 1.1121,                 2.3531,                  2.143,                 1.1907,             0.00094458,             0.00094458,             0.00094458
                      6,                 1.1416,                 1.8539,                 1.8704,                 1.1072,                0.69233,                0.54988,                0.63916,                0.51023,                0.55762,                 0.6718,                0.65185,                0.51427,                 1.0567,                 2.1161,                 1.5947,                  1.138,               0.001125,               0.001125,               0.001125
                      7,                 1.0696,                 1.7819,                 1.6424,                 1.0829,                0.70419,                0.54988,                0.62131,                0.49424,                0.70419,                0.54988,                0.61834,                0.48943,                 1.0717,                 2.0261,                 1.6747,                 1.1558,              0.0013014,              0.0013014,              0.0013014
                      8,                 1.0528,                 1.7582,                 1.5563,                 1.0936,                0.79509,                0.65078,                0.71004,                0.52763,                0.75981,                0.67118,                0.71325,                0.54402,                  1.098,                 1.9851,                 1.4337,                 1.1653,              0.0014739,              0.0014739,              0.0014739
                      9,                 1.0671,                  1.732,                 1.3459,                 1.1078,                0.73138,                 0.6798,                0.70165,                0.54446,                0.73138,                 0.6798,                0.70085,                0.55926,                 1.0874,                 2.0436,                 1.5125,                 1.1761,               0.001535,               0.001535,               0.001535
                     10,                 1.0701,                 1.6341,                 1.3343,                 1.1008,                0.85675,                0.64485,                0.73536,                0.56661,                0.71446,                0.73157,                0.73399,                0.57651,                 1.0886,                 2.0376,                 1.2888,                 1.1712,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0504,                 1.6116,                 1.2507,                 1.0888,                0.83178,                0.74015,                0.78213,                0.56734,                0.84697,                0.74877,                0.77968,                0.59281,                 1.1484,                 2.0121,                 1.1786,                 1.2023,               0.001502,               0.001502,               0.001502
                     12,                 1.0076,                 1.4719,                 1.1015,                 1.0541,                0.86656,                0.74018,                 0.7784,                0.60169,                0.86656,                0.74018,                0.77305,                0.61172,                 1.0179,                 2.1216,                 1.0101,                 1.1808,              0.0014855,              0.0014855,              0.0014855
                     13,                0.98085,                 1.5735,                 1.0935,                 1.0694,                0.73908,                0.76663,                0.76859,                0.58412,                0.72926,                  0.758,                0.75969,                0.59433,                 1.0526,                 2.1273,                   1.06,                 1.1739,               0.001469,               0.001469,               0.001469
                     14,                0.98385,                 1.5434,                 1.1019,                 1.0439,                0.85719,                0.74373,                 0.7991,                0.61623,                0.85719,                0.74373,                 0.7952,                0.61653,                 1.0677,                 1.9643,                0.99942,                 1.1849,              0.0014525,              0.0014525,              0.0014525
                     15,                0.93511,                 1.4987,                0.98619,                 1.0308,                0.87991,                0.77525,                0.79382,                 0.6039,                0.84999,                  0.758,                0.78394,                0.60432,                 1.0513,                 1.9335,                0.97016,                  1.172,               0.001436,               0.001436,               0.001436
                     16,                0.98742,                 1.6064,                 1.0685,                 1.0717,                0.82667,                0.76663,                0.77813,                0.60412,                0.81622,                  0.758,                0.77756,                0.61536,                 1.1117,                 1.9841,                0.98904,                  1.183,              0.0014195,              0.0014195,              0.0014195
                     17,                0.97882,                  1.437,                0.99241,                 1.0629,                0.88362,                0.79249,                0.81042,                 0.6149,                0.88362,                0.79249,                0.82032,                0.64782,                 1.0551,                 1.8982,                0.90604,                 1.1524,              0.0014029,              0.0014029,              0.0014029
                     18,                0.90516,                 1.4088,                0.90287,                 1.0038,                0.87267,                0.80332,                0.82395,                0.60992,                0.87275,                0.80432,                0.82834,                0.63249,                 1.0573,                 1.8432,                0.91061,                 1.1636,              0.0013864,              0.0013864,              0.0013864
                     19,                0.93511,                 1.3984,                 0.9231,                 1.0287,                0.82882,                0.78387,                0.78923,                0.61154,                0.81895,                0.80715,                0.81679,                0.63413,                0.99885,                 1.7264,                0.90046,                 1.1313,              0.0013699,              0.0013699,              0.0013699
                     20,                 0.8863,                 1.4119,                0.90675,                 1.0194,                0.90223,                0.76663,                0.79671,                 0.6089,                0.90223,                0.76663,                0.81249,                0.62842,                 1.0035,                 1.7169,                0.91658,                 1.1177,              0.0013534,              0.0013534,              0.0013534
                     21,                0.92359,                 1.4036,                0.94341,                  1.004,                0.86647,                  0.758,                0.77683,                0.61588,                0.86647,                  0.758,                0.77464,                0.61947,                0.98621,                 1.7435,                0.91114,                 1.1064,              0.0013369,              0.0013369,              0.0013369
                     22,                0.88869,                 1.3724,                0.87125,                 1.0088,                0.88416,                0.77525,                0.79346,                0.61143,                0.87224,                0.76917,                0.78347,                0.63434,                 1.0095,                 1.7848,                0.87913,                 1.1392,              0.0013204,              0.0013204,              0.0013204
                     23,                0.91884,                 1.4002,                0.87493,                 1.0133,                0.93831,                0.76663,                0.78897,                0.62983,                0.93831,                0.76663,                0.79589,                0.64705,                0.97357,                 1.7226,                0.91762,                 1.1034,              0.0013039,              0.0013039,              0.0013039
                     24,                0.90008,                 1.3385,                0.87825,                 1.0109,                0.87834,                  0.758,                0.78043,                0.61835,                0.87834,                  0.758,                0.77444,                  0.631,                0.93924,                 1.7689,                0.91961,                 1.0688,              0.0012874,              0.0012874,              0.0012874
