                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.89058,                 1.3524,                 0.8504,                 1.0092,                0.87565,                0.74938,                0.78557,                0.61944,                0.86282,                0.74076,                0.76916,                0.62981,                0.97837,                 1.7802,                0.96178,                 1.1066,              0.0014139,              0.0014139,              0.0014139
                     25,                0.84226,                 1.2334,                0.81937,                 0.9856,                 0.8885,                0.76211,                0.79625,                0.62712,                0.92405,                0.76512,                0.79834,                0.64164,                 0.9677,                 1.7441,                0.97833,                 1.0598,              0.0014029,              0.0014029,              0.0014029
                     26,                0.87527,                 1.3548,                 0.8011,                0.98873,                0.85808,                0.76707,                0.79558,                0.64415,                0.85819,                0.76846,                0.78858,                 0.6346,                0.98182,                 1.6918,                0.89527,                 1.0692,              0.0013919,              0.0013919,              0.0013919
                     27,                0.85584,                  1.223,                0.77533,                 0.9903,                 0.9098,                0.75482,                0.80116,                0.62313,                0.94492,                0.72712,                0.79388,                0.64422,                 1.0403,                 1.7824,                0.92581,                 1.1282,              0.0013809,              0.0013809,              0.0013809
                     28,                 0.8651,                 1.2686,                0.78645,                0.98617,                 0.8617,                0.80111,                0.80468,                0.64206,                 0.8617,                0.80111,                 0.8017,                0.62794,                0.98316,                 1.7877,                0.88965,                 1.1287,              0.0013699,              0.0013699,              0.0013699
                     29,                 0.8623,                 1.2872,                0.77248,                0.98444,                0.81758,                0.81766,                0.80028,                0.63784,                 0.8341,                0.80111,                0.80453,                0.64512,                0.93943,                 1.7069,                0.88982,                 1.1162,              0.0013589,              0.0013589,              0.0013589
                     30,                0.84901,                 1.2183,                0.76341,                0.97028,                0.87856,                0.77525,                0.78994,                0.63215,                0.88569,                0.78387,                0.79621,                 0.6374,                0.94994,                 1.6666,                0.87198,                 1.1447,              0.0013479,              0.0013479,              0.0013479
                     31,                0.80278,                 1.2027,                0.69471,                0.95876,                 0.8077,                0.78387,                0.76404,                0.61447,                0.78897,                0.76663,                0.74813,                0.62943,                0.95907,                 1.7359,                0.89591,                 1.1163,              0.0013369,              0.0013369,              0.0013369
                     32,                0.82498,                 1.2835,                0.75569,                0.95815,                0.86589,                0.74076,                0.77511,                0.61077,                0.85328,                0.73214,                0.76802,                0.62762,                0.99941,                 1.7457,                0.92877,                 1.1299,              0.0013259,              0.0013259,              0.0013259
                     33,                 0.8099,                 1.1517,                0.68967,                0.95574,                0.87274,                  0.758,                0.78306,                0.61908,                0.89404,                0.73591,                  0.788,                0.64183,                 1.0053,                 1.6811,                0.88097,                 1.1293,              0.0013149,              0.0013149,              0.0013149
                     34,                 0.8439,                 1.3055,                0.75255,                 1.0053,                0.90377,                0.73792,                0.77457,                 0.6197,                0.87393,                0.76663,                0.79201,                0.63457,                0.94489,                 1.6561,                0.84966,                 1.1012,              0.0013039,              0.0013039,              0.0013039
                     35,                0.80543,                 1.2461,                0.70029,                 0.9548,                0.87175,                0.78557,                0.80517,                0.63449,                0.87175,                0.78557,                0.79475,                0.63946,                0.90555,                  1.643,                0.80241,                 1.0599,              0.0012929,              0.0012929,              0.0012929
                     36,                0.83815,                 1.2421,                0.74507,                0.97109,                0.86905,                0.80111,                0.79162,                0.65727,                 0.8902,                 0.8177,                0.81767,                0.66096,                0.89689,                 1.5496,                0.77929,                 1.0632,              0.0012819,              0.0012819,              0.0012819
                     37,                0.78833,                 1.1794,                0.71961,                0.95888,                0.91934,                0.79064,                0.83296,                0.65033,                0.91934,                0.79064,                0.82982,                 0.6435,                0.95854,                 1.6429,                0.80282,                 1.1016,              0.0012709,              0.0012709,              0.0012709
                     38,                0.77214,                 1.1397,                 0.6591,                0.96372,                0.91537,                0.77772,                 0.8011,                0.63963,                0.90297,                0.76924,                0.81611,                0.64725,                0.91461,                 1.6967,                0.81037,                 1.1101,              0.0012599,              0.0012599,              0.0012599
                     39,                0.81747,                 1.2346,                0.71081,                0.95604,                0.89375,                0.79249,                0.80844,                0.66186,                0.89375,                0.79249,                0.81527,                0.64851,                0.88634,                 1.8481,                0.79288,                 1.1088,              0.0012489,              0.0012489,              0.0012489
                     40,                0.80272,                 1.1701,                0.66682,                0.95325,                0.92112,                0.80899,                0.83727,                0.65547,                0.92931,                0.82697,                0.84166,                0.65485,                  0.947,                 1.7742,                0.78217,                 1.1231,              0.0012379,              0.0012379,              0.0012379
                     41,                0.79445,                 1.1738,                 0.6542,                0.96946,                0.91855,                0.76663,                0.81534,                0.65907,                0.93205,                0.77525,                0.80541,                0.66081,                0.86751,                 1.7015,                0.77754,                 1.0776,              0.0012269,              0.0012269,              0.0012269
                     42,                0.78179,                 1.1679,                0.66548,                0.95869,                0.90312,                0.80536,                 0.8308,                0.64315,                0.93283,                0.79249,                0.84516,                0.65919,                0.92848,                 1.7371,                0.72694,                 1.0896,              0.0012159,              0.0012159,              0.0012159
                     43,                0.81121,                  1.145,                0.69975,                0.96637,                0.89764,                0.82697,                0.81992,                0.64861,                0.89764,                0.82697,                0.83194,                0.66968,                0.89326,                 1.6522,                0.77489,                 1.0634,              0.0012049,              0.0012049,              0.0012049
                     44,                 0.7423,                 1.1435,                0.64274,                0.94636,                0.89376,                0.78964,                0.82492,                0.66274,                0.92748,                0.80074,                0.84199,                0.67053,                 0.8629,                 1.6066,                0.76343,                 1.0356,              0.0011939,              0.0011939,              0.0011939
                     45,                0.81275,                 1.1577,                0.67303,                0.96733,                0.92518,                0.80973,                0.84112,                0.66293,                0.92518,                0.80973,                0.84667,                 0.6711,                0.88123,                 1.6289,                0.74057,                 1.0193,              0.0011829,              0.0011829,              0.0011829
                     46,                0.75853,                 1.1079,                0.64282,                0.94288,                0.91132,                0.80614,                0.84032,                0.68858,                0.91132,                0.80614,                0.84222,                0.68297,                0.83231,                 1.6622,                0.71768,                  1.001,              0.0011719,              0.0011719,              0.0011719
                     47,                 0.7671,                 1.1211,                0.66028,                0.94879,                0.89748,                0.80973,                0.84631,                0.69502,                0.89748,                0.80973,                0.84012,                0.67935,                0.82607,                 1.7001,                0.69313,                  1.007,              0.0011609,              0.0011609,              0.0011609
                     48,                0.79225,                 1.1748,                0.65117,                0.95642,                0.93496,                0.77525,                0.83733,                0.66595,                0.92178,                0.76663,                0.82926,                0.66055,                0.88195,                 1.7395,                0.72948,                 1.0478,              0.0011499,              0.0011499,              0.0011499
                     49,                0.77015,                 1.1779,                0.64968,                0.93113,                0.91492,                0.77525,                0.82238,                0.66529,                0.93707,                0.77525,                  0.817,                0.65387,                0.88766,                 1.7397,                0.77675,                 1.0425,              0.0011389,              0.0011389,              0.0011389
                     50,                0.72994,                 1.0769,                0.62074,                0.93274,                0.84026,                0.79249,                0.81325,                0.68135,                0.85034,                0.80111,                0.81631,                0.68003,                 0.8377,                 1.6499,                0.73012,                 1.0174,              0.0011279,              0.0011279,              0.0011279
                     51,                0.75684,                 1.1299,                 0.6007,                0.93269,                0.91045,                0.77525,                0.82014,                0.67214,                0.92286,                0.78387,                0.82806,                0.67193,                0.88831,                 1.7077,                 0.7411,                 1.0425,              0.0011169,              0.0011169,              0.0011169
                     52,                0.72497,                 1.0422,                0.57633,                0.92175,                0.93565,                0.75592,                0.82743,                0.68188,                0.89074,                0.80786,                0.83668,                 0.6647,                0.88664,                 1.6744,                0.78729,                  1.034,              0.0011059,              0.0011059,              0.0011059
                     53,                0.74306,                 1.0925,                0.59917,                0.92304,                0.89514,                0.79249,                0.83015,                0.66941,                0.89514,                0.79249,                0.83293,                0.67317,                0.89443,                 1.6367,                0.80896,                 1.0513,              0.0010949,              0.0010949,              0.0010949
                     54,                0.71863,                 1.0403,                0.59697,                0.91327,                0.91228,                 0.7573,                0.80944,                0.64632,                0.91228,                 0.7573,                0.81229,                0.67074,                0.89378,                 1.6909,                0.80958,                 1.0612,              0.0010839,              0.0010839,              0.0010839
                     55,                 0.7271,                 1.1463,                0.62529,                0.92785,                0.91801,                0.76809,                0.81276,                0.65546,                0.95089,                0.73772,                0.80148,                 0.6646,                0.86094,                 1.7979,                 0.8337,                 1.0416,              0.0010729,              0.0010729,              0.0010729
                     56,                0.72449,                  1.104,                0.60639,                 0.9336,                0.90844,                0.76792,                0.82917,                0.65363,                0.91489,                0.76663,                0.82027,                0.65545,                0.90301,                 1.9161,                0.75505,                 1.0818,              0.0010619,              0.0010619,              0.0010619
                     57,                0.76296,                 1.0897,                0.59716,                0.93136,                0.87587,                0.77525,                0.82986,                0.65713,                0.87587,                0.77525,                0.81835,                0.67027,                0.86709,                 1.8089,                0.72691,                 1.0486,              0.0010509,              0.0010509,              0.0010509
                     58,                0.72774,                 1.1039,                0.59829,                0.91651,                0.91024,                0.81835,                0.84803,                0.67931,                0.91024,                0.81835,                0.83728,                0.67148,                0.85852,                  1.735,                0.67627,                  1.033,              0.0010399,              0.0010399,              0.0010399
                     59,                 0.6916,                 1.0059,                0.56757,                0.92015,                0.92618,                0.77525,                 0.8306,                0.68286,                0.93884,                0.78387,                0.83787,                 0.6814,                0.84725,                 1.7559,                0.69956,                 1.0292,              0.0010289,              0.0010289,              0.0010289
                     60,                0.72658,                 1.1899,                0.60317,                0.95511,                0.91395,                0.78326,                0.84366,                0.68192,                0.92698,                0.79178,                  0.849,                0.67902,                 0.8591,                 1.7097,                0.70527,                 1.0364,              0.0010179,              0.0010179,              0.0010179
                     61,                0.74053,                 1.0722,                0.58408,                0.94461,                0.92708,                0.78387,                0.84475,                0.68806,                0.91923,                0.78387,                0.83803,                0.70178,                0.88184,                 1.6688,                0.74092,                 1.0532,              0.0010069,              0.0010069,              0.0010069
                     62,                0.74546,                 1.1345,                0.55885,                0.92536,                0.88979,                0.81835,                0.83756,                0.68882,                0.90064,                0.82697,                0.84748,                0.69279,                0.83272,                 1.7196,                0.67198,                 1.0347,             0.00099587,             0.00099587,             0.00099587
                     63,                0.74909,                 1.1151,                0.58138,                  0.919,                0.92836,                0.80973,                 0.8472,                0.69136,                 0.9184,                0.81835,                0.85164,                0.69967,                0.84219,                 1.6641,                0.71555,                 1.0294,             0.00098486,             0.00098486,             0.00098486
                     64,                0.72542,                 1.0795,                0.53924,                0.91753,                0.88589,                0.79249,                0.83177,                0.69353,                0.90589,                0.80973,                0.84434,                0.70032,                0.81314,                 1.6064,                0.71664,                 1.0199,             0.00097386,             0.00097386,             0.00097386
                     65,                0.75767,                 1.1049,                 0.5921,                0.92164,                0.82609,                0.82697,                0.82524,                 0.6856,                0.84487,                0.82697,                0.83914,                0.68106,                0.83319,                 1.6919,                0.70229,                 1.0469,             0.00096286,             0.00096286,             0.00096286
                     66,                0.73322,                 1.0934,                0.56285,                0.94379,                0.85649,                0.81804,                0.83202,                 0.6832,                 0.8749,                0.83286,                0.83935,                0.68766,                0.83976,                 1.6949,                0.69903,                 1.0522,             0.00095186,             0.00095186,             0.00095186
                     67,                0.78275,                 1.0444,                0.60905,                0.93752,                0.88621,                0.78387,                0.83648,                0.67821,                0.90351,                0.80111,                0.84658,                0.65932,                0.93713,                 1.8748,                0.69841,                 1.1194,             0.00094085,             0.00094085,             0.00094085
                     68,                0.71578,                 1.1181,                0.57226,                 0.9167,                0.90181,                0.81835,                0.85051,                0.67984,                0.91851,                0.83559,                0.85959,                0.66361,                0.96114,                 1.7021,                0.71028,                 1.1154,             0.00092985,             0.00092985,             0.00092985
                     69,                0.69188,                 1.0315,                0.54656,                0.90461,                0.93281,                  0.802,                0.86312,                0.67865,                0.93281,                  0.802,                0.86199,                 0.6716,                0.91847,                 1.6858,                0.68208,                 1.0731,             0.00091885,             0.00091885,             0.00091885
                     70,                0.69439,                 1.0075,                0.54183,                0.91061,                0.84091,                0.81175,                0.82648,                0.67223,                0.86306,                0.86145,                0.85332,                0.68923,                0.90878,                 1.5982,                 0.6878,                 1.0674,             0.00090785,             0.00090785,             0.00090785
                     71,                0.74147,                 1.1611,                 0.6093,                0.93034,                0.93134,                0.77525,                0.82365,                 0.6631,                0.90716,                0.80111,                0.83292,                0.68367,                0.86262,                 1.5887,                0.73976,                 1.0419,             0.00089685,             0.00089685,             0.00089685
                     72,                0.67803,                 0.9946,                 0.5345,                0.90821,                0.89367,                0.80973,                0.83978,                0.68619,                0.90579,                0.81835,                0.84647,                0.68951,                0.86557,                 1.6581,                  0.727,                 1.0334,             0.00088584,             0.00088584,             0.00088584
                     73,                0.71293,                 1.0813,                0.56596,                0.90891,                0.94581,                0.79249,                0.84529,                0.67379,                0.94581,                0.79249,                0.84325,                0.68278,                0.87678,                 1.7065,                0.70024,                 1.0535,             0.00087484,             0.00087484,             0.00087484
                     74,                0.73237,                 1.0778,                0.56195,                0.93764,                 0.8806,                0.80111,                0.82932,                0.66885,                 0.8916,                0.80973,                0.84209,                0.69207,                0.90182,                 1.6782,                 0.7441,                 1.0788,             0.00086384,             0.00086384,             0.00086384
                     75,                0.69234,                  1.006,                0.52184,                0.92993,                0.93125,                0.80973,                0.84193,                0.67091,                0.93125,                0.80973,                 0.8442,                 0.7007,                0.88702,                 1.7064,                0.73304,                 1.0629,             0.00085284,             0.00085284,             0.00085284
                     76,                0.70354,                0.97193,                0.52768,                0.92809,                0.91239,                0.78387,                0.84265,                 0.6734,                0.91239,                0.78387,                0.84513,                0.68754,                0.87588,                 1.6289,                 0.7228,                 1.0463,             0.00084184,             0.00084184,             0.00084184
                     77,                0.72029,                 1.1153,                 0.5565,                0.91961,                0.92112,                0.81835,                0.84539,                0.69024,                0.92151,                0.80973,                 0.8421,                0.69137,                0.82765,                 1.6122,                0.72459,                 1.0196,             0.00083083,             0.00083083,             0.00083083
                     78,                0.67507,                 0.9535,                0.53252,                0.91262,                0.90123,                0.81835,                0.84318,                0.69109,                0.90715,                0.79249,                0.83121,                0.68939,                0.82473,                 1.6963,                0.72393,                 1.0311,             0.00081983,             0.00081983,             0.00081983
                     79,                0.68707,                 1.0298,                0.53294,                0.90393,                0.90005,                0.83559,                0.85252,                0.69136,                0.88981,                0.82697,                0.84658,                0.69354,                0.85647,                 1.7472,                0.66257,                 1.0829,             0.00080883,             0.00080883,             0.00080883
                     80,                0.67179,                0.98632,                0.51889,                0.89688,                0.88028,                0.83559,                0.84348,                0.68208,                0.91743,                0.82697,                0.85359,                0.68267,                0.86121,                 1.7364,                0.65333,                 1.0638,             0.00079783,             0.00079783,             0.00079783
                     81,                0.65817,                0.98812,                0.51614,                0.90341,                0.89926,                0.82185,                0.84461,                   0.68,                0.90544,                0.82697,                0.85211,                0.68208,                0.83309,                 1.6816,                0.64395,                 1.0673,             0.00078682,             0.00078682,             0.00078682
                     82,                0.69914,                 1.0124,                0.53585,                0.92643,                0.91603,                0.82697,                0.85453,                0.67947,                0.90511,                0.81835,                0.85163,                0.67849,                0.83789,                 1.7257,                0.65472,                 1.0603,             0.00077582,             0.00077582,             0.00077582
                     83,                0.67932,                 1.0116,                0.53663,                0.91267,                0.92039,                0.82697,                0.84829,                0.68329,                0.92039,                0.82697,                 0.8492,                0.68901,                0.80302,                 1.7477,                0.64233,                 1.0526,             0.00076482,             0.00076482,             0.00076482
                     84,                0.64771,                 1.0158,                0.50073,                0.91566,                0.89154,                0.81835,                0.84447,                0.69497,                0.89404,                0.81835,                0.84064,                0.69039,                 0.7857,                 1.7206,                0.66766,                 1.0458,             0.00075382,             0.00075382,             0.00075382
                     85,                0.71585,                 1.0035,                0.52342,                0.91064,                0.91622,                0.81835,                0.85132,                0.69043,                0.90532,                0.80973,                0.84877,                0.69448,                0.82269,                 1.7256,                0.64063,                 1.0551,             0.00074282,             0.00074282,             0.00074282
                     86,                0.70545,                 1.0269,                0.54647,                0.91074,                 0.9367,                0.82697,                0.87043,                0.70134,                0.92497,                0.81835,                0.86214,                 0.7148,                0.83163,                 1.6961,                0.64901,                 1.0517,             0.00073181,             0.00073181,             0.00073181
                     87,                0.66343,                0.91366,                 0.5042,                0.90507,                0.94696,                0.84324,                0.87843,                0.70103,                0.92505,                0.82299,                0.86193,                0.70701,                0.82223,                 1.6693,                0.65005,                  1.041,             0.00072081,             0.00072081,             0.00072081
                     88,                0.65662,                0.94032,                0.49505,                0.90879,                0.93479,                0.82073,                0.86539,                0.69643,                0.92351,                0.81232,                0.85881,                0.68872,                0.82936,                 1.6575,                0.64497,                 1.0579,             0.00070981,             0.00070981,             0.00070981
                     89,                0.69607,                 1.0277,                0.51741,                0.91211,                0.90616,                0.81835,                0.85436,                0.69468,                 0.9373,                0.79249,                0.84322,                0.68101,                0.80841,                  1.709,                0.66548,                  1.043,             0.00069881,             0.00069881,             0.00069881
                     90,                0.62193,                0.91299,                0.50016,                0.87901,                0.92463,                0.79249,                0.84117,                0.69085,                0.89691,                0.81835,                0.84984,                0.68697,                0.83413,                 1.7249,                0.71191,                 1.0476,              0.0006878,              0.0006878,              0.0006878
                     91,                0.65348,                0.91912,                0.50288,                0.88408,                0.89872,                0.81835,                0.85326,                0.68618,                0.89872,                0.81835,                 0.8496,                0.69885,                0.82712,                  1.673,                0.74884,                 1.0384,              0.0006768,              0.0006768,              0.0006768
                     92,                0.67181,                0.93762,                0.50756,                 0.9064,                0.91033,                0.81406,                0.84491,                0.68684,                0.91033,                0.81406,                 0.8492,                 0.6857,                0.82775,                 1.7586,                 0.7276,                 1.0341,              0.0006658,              0.0006658,              0.0006658
                     93,                0.65798,                0.97401,                0.48828,                0.89945,                0.92885,                 0.7998,                0.85136,                0.69366,                0.92885,                 0.7998,                0.85696,                    0.7,                0.78608,                 1.6683,                0.68594,                 1.0145,              0.0006548,              0.0006548,              0.0006548
                     94,                0.65957,                0.98095,                0.48643,                0.89113,                0.92238,                0.82794,                0.86805,                0.69075,                0.92238,                0.82794,                0.86663,                 0.7052,                0.81224,                 1.6621,                0.64549,                 1.0324,              0.0006438,              0.0006438,              0.0006438
                     95,                0.64905,                0.88836,                0.46156,                0.89986,                 0.9244,                0.84035,                0.86278,                0.67836,                 0.9244,                0.84035,                0.86176,                0.69453,                0.85566,                 1.6548,                0.65957,                  1.052,             0.00063279,             0.00063279,             0.00063279
                     96,                 0.6759,                 0.9481,                0.51646,                0.90239,                0.92932,                0.83559,                0.85619,                0.69518,                0.92932,                0.83559,                0.85555,                 0.7118,                0.78757,                 1.5715,                0.63827,                 1.0237,             0.00062179,             0.00062179,             0.00062179
                     97,                0.69634,                  1.019,                0.51128,                0.92046,                0.89841,                0.83559,                0.84949,                 0.6933,                0.89034,                0.84421,                0.85817,                0.70522,                0.79415,                 1.5846,                0.65431,                 1.0209,             0.00061079,             0.00061079,             0.00061079
                     98,                0.64476,                0.96273,                0.48517,                0.89472,                0.91738,                0.83559,                0.85511,                 0.6782,                 0.9102,                0.85283,                0.86372,                0.69103,                0.80698,                 1.6653,                0.66691,                  1.016,             0.00059979,             0.00059979,             0.00059979
                     99,                0.61929,                0.91952,                0.48612,                0.89777,                0.93123,                0.83559,                0.85076,                0.68213,                0.93424,                0.84255,                0.85912,                0.69312,                0.83445,                 1.6881,                0.70292,                 1.0483,             0.00058878,             0.00058878,             0.00058878
