                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0488,                 1.4881,                0.73456,                 1.0337,                0.89207,                0.86018,                0.90764,                0.64387,                0.88359,                0.85862,                0.89847,                0.63515,                  1.049,                 1.4066,                0.73363,                 1.0657,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.046,                 1.4882,                0.70337,                 1.0345,                0.88955,                0.82805,                0.91908,                  0.641,                0.89441,                0.83258,                0.91537,                0.62308,                 1.1112,                 1.4766,                0.70714,                 1.0861,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0523,                 1.4687,                0.70403,                 1.0491,                 0.8957,                0.85489,                0.91854,                0.66085,                0.89105,                0.86425,                0.91663,                0.64305,                 0.9882,                 1.4362,                0.69871,                  1.034,               0.001505,               0.001505,               0.001505
                     27,                 1.0334,                 1.4563,                0.70924,                 1.0235,                 0.8669,                0.85466,                0.91928,                0.66115,                0.86231,                0.85013,                 0.9195,                0.65862,                 1.0405,                 1.3989,                0.70421,                 1.0548,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0317,                 1.4288,                0.69395,                 1.0543,                0.87065,                0.85277,                0.91014,                0.66055,                0.87518,                0.85663,                0.91738,                0.65303,                0.98018,                 1.4269,                0.71375,                 1.0443,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0452,                 1.5142,                0.71169,                 1.0396,                 0.8539,                0.84615,                 0.8897,                0.62693,                0.86507,                 0.8552,                0.90072,                0.62575,                 1.0722,                 1.4733,                0.74688,                 1.0767,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0059,                 1.4232,                0.66927,                 1.0181,                0.87706,                 0.8371,                0.91751,                0.66461,                0.89496,                0.84813,                0.92131,                0.65628,                 1.0248,                 1.5013,                0.71328,                 1.0561,              0.0014258,              0.0014258,              0.0014258
                     31,                0.98799,                 1.4288,                0.67176,                 1.0111,                0.92588,                0.85973,                0.93321,                0.64612,                0.93076,                0.86425,                0.93036,                0.64627,                 1.0386,                 1.4456,                0.66862,                 1.0745,               0.001406,               0.001406,               0.001406
                     32,                 1.0078,                  1.442,                0.68502,                 1.0251,                0.87556,                0.89144,                0.92951,                0.67248,                0.89447,                0.86878,                0.92005,                0.65713,                0.99582,                 1.4482,                0.68324,                 1.0459,              0.0013862,              0.0013862,              0.0013862
                     33,                0.97549,                   1.37,                 0.6549,                 1.0008,                0.92818,                0.87712,                0.94121,                0.68256,                0.92818,                0.87712,                 0.9382,                0.66841,                0.98395,                  1.387,                0.63525,                 1.0675,              0.0013664,              0.0013664,              0.0013664
